,msg,count
0,00,117
1,000,31
2,001,1
3,007,5
4,01,25
5,013,1
6,02,10
7,03,5
8,030,1
9,04,3
10,05,2
11,058,1
12,06,3
13,07,2
14,08,5
15,09,8
16,096,5
17,099,2
18,10,313
19,100,62
20,1000,23
21,10000,13
22,101,2
23,1010,24
24,1011,1
25,1020,1
26,10400,2
27,10405,1
28,1049,1
29,105,1
30,10500,2
31,10550,1
32,10574,1
33,106,1
34,107,1
35,10700,4
36,10740,1
37,10770,1
38,10799,5
39,108,3
40,1080,9
41,10800,1
42,1080p,1
43,1088,1
44,108plan,1
45,109,1
46,1099,1
47,10999,1
48,109x24,1
49,10gb月,1
50,10日,7
51,10月,24
52,11,134
53,110,4
54,1100,1
55,1111,3
56,11124,2
57,1125,1
58,1149,1
59,115,1
60,1153,2
61,118,2
62,11800,1
63,1195211952,1
64,11日,1
65,11月,21
66,12,491
67,120,81
68,1200,8
69,12000,3
70,120日,3
71,123456789,1
72,12371,1
73,124,3
74,12499,6
75,12500,1
76,12515,1
77,12550,1
78,127881,1
79,127882,1
80,12799,3
81,128,90
82,1282,1
83,128205,1
84,128226,1
85,128227,1
86,12888,1
87,128g,1
88,128gb,80
89,128x24,1
90,129,1
91,12990,3
92,12日,3
93,12月,15
94,12点,2
95,13,54
96,13000,2
97,13100,1
98,13200,1
99,133,2
100,13333,1
101,13420,1
102,135,1
103,138,14
104,138月,1
105,13xxx,1
106,13日,5
107,14,25
108,140,8
109,14000,1
110,142,1
111,144,4
112,1440,2
113,146,1
114,148,4
115,1480,1
116,14800,1
117,149,1
118,1499,4
119,15,73
120,150,6
121,1500,12
122,15083,1
123,1516,3
124,152,1
125,157,1
126,1599,2
127,15日,2
128,16,37
129,160,8
130,1600,2
131,16000,1
132,1613,1
133,167,2
134,168,9
135,16gb,1
136,16gb應該夠,1
137,16hr,1
138,17,12
139,1700,2
140,171306_4f7b2af2c0e80c8115ed4a80be97b4b4,1
141,174,1
142,176236209596863,2
143,178,1
144,1790,2
145,1792,2
146,17e3365856cb620d910a825dc56fbe85,1
147,17日,1
148,18,99
149,180,1
150,1800,4
151,186,2
152,187,1
153,1872,1
154,1874,2
155,188,3
156,1880,2
157,1888,8
158,18888,1
159,188g,1
160,18x24,1
161,18月,1
162,19,18
163,190,3
164,1900,2
165,191,1
166,192,2
167,1920,1
168,1973年,1
169,198,30
170,1980,1
171,1980年,1
172,1981年,1
173,1982年,1
174,1983年,1
175,1986年,1
176,1987,1
177,1987年,1
178,198plan,6
179,198月,4
180,1990年,4
181,1994年,8
182,1995年,2
183,1996年,2
184,1999年,1
185,1adac,1
186,1b2,1
187,1f4e2,1
188,1st,10
189,1x1x,1
190,1万,1
191,1千,3
192,1年,2
193,1數,1
194,1日,7
195,1月,2
196,1萬,2
197,20,107
198,200,106
199,2000,32
200,20000,2
201,2000年,4
202,2001年,1
203,2003年,1
204,2004年,2
205,2005,1
206,2005年,2
207,2006年,7
208,2007年,6
209,2008年,1
210,200g,1
211,200gb,1
212,2010,5
213,2010年,1
214,2011,1
215,2011年,8
216,2012,4
217,2012年,1
218,2013,3
219,2013年,5
220,2014,3
221,2014年,3
222,2015,1
223,2015年,4
224,2016,3
225,2016年,5
226,2017,44
227,2017年,5
228,2018,78
229,20180913,1
230,2018easter,2
231,2018年,10
232,2019,7
233,2019年,7
234,202,1
235,2020,5
236,2020年,4
237,2025,2
238,203mb,1
239,2045,1
240,2046,1
241,2047,1
242,205,2
243,20544,1
244,208,1
245,209,1
246,20gb,2
247,20pro,1
248,20分,1
249,20萬兵,2
250,21,47
251,2100,1
252,21120099,1
253,216,3
254,2168,6
255,218,1
256,2191,1
257,21guns,1
258,21st,1
259,21日,6
260,21月,1
261,22,35
