,msg,count
0,一一捧,1
1,一一香港,2
2,一世义,1
3,一世做,1
4,一世太多,1
5,一世打工,60
6,一世會,1
7,一世添,1
8,一代一代,1
9,一代先,3
10,一代尾,1
11,一代开,1
12,一代快,2
13,一代提升,1
14,一代果,1
15,一代試,2
16,一代都换机,1
17,一代響,1
18,一体牛,1
19,一共中,1
20,一再問,1
21,一刹自由,1
22,一同不合,1
23,一向係,9
24,一向偷,1
25,一向只用,1
26,一向叻,3
27,一向定,2
28,一向愛,1
29,一向手,1
30,一向時,1
31,一向月,1
32,一向笨,2
33,一向老,1
34,一向自豪,1
35,一向落,1
36,一向課,1
37,一向選,1
38,一向都叻叻,1
39,一向都淘架,1
40,一向雙,1
41,一味識話,1
42,一唱一和怕,1
43,一大堆,3
44,一大堆野,2
45,一大失,1
46,一大截,1
47,一大班,1
48,一大班组,1
49,一大筆,1
50,一大節,1
51,一大細,1
52,一大部分,1
53,一家人出手,1
54,一家人西,1
55,一家細,2
56,一家親,1
57,一屋係,1
58,一屋簷,1
59,一带補,1
60,一幕甜美,1
61,一律禁,3
62,一心一意捧,1
63,一心為,1
64,一心請,1
65,一心諗,1
66,一手交,1
67,一手做成,1
68,一手掌握,1
69,一手消息,1
70,一手蟹,1
71,一手賣,1
72,一拳低,2
73,一拳收,2
74,一搜丶,1
75,一次性加,1
76,一毫值得,2
77,一炮俾,1
78,一炮可供,1
79,一炮晒,61
80,一炮話,1
81,一班人出,60
82,一班人搞,1
83,一生一心,2
84,一生搞笑,2
85,一生結,1
86,一直下去,1
87,一直以來,1
88,一直來,2
89,一直係,6
90,一直做,3
91,一直停,1
92,一直冇,3
93,一直問,1
94,一直左,1
95,一直愛情,1
96,一直投,1
97,一直支持,1
98,一直水,2
99,一直炒,1
100,一直為,1
101,一直直,1
102,一直答,1
103,一直系,1
104,一直繼續,1
105,一直自豪,1
106,一直見,1
107,一直話,1
108,一直賣,1
109,一直越,1
110,一直輸,1
111,一直都系,1
112,一直都造,1
113,一直鍾,1
114,一直長,1
115,一直開,1
116,一直麻麻,1
117,一眼見,2
118,一碟新野,1
119,一箱一箱,1
120,一箱買,1
121,一行會,1
122,一行雪花,1
123,一角少,1
124,一角睇,1
125,一起回收,1
126,一起日子,1
127,一起狂,1
128,一起發,1
129,一起發現,2
130,一起身,3
131,一起逐,1
132,一起通,1
133,一起食,2
134,一起騎,1
135,一身裡,1
136,一面倒,1
137,一面睇,1
138,一餐飯,1
139,丁女性,1
140,丁食,2
141,三叔中,1
142,三叔公,1
143,三叔再,1
144,三叔利,1
145,三叔友又,1
146,三叔吋,1
147,三叔問,1
148,三叔夜景,1
149,三叔奶,1
150,三叔好似,1
151,三叔定,1
152,三叔已經,2
153,三叔快,1
154,三叔手,4
155,三叔打手,2
156,三叔搞,1
157,三叔支筆好,1
158,三叔新,1
159,三叔新力,1
160,三叔明顯,1
161,三叔會,4
162,三叔正,1
163,三叔洗,1
164,三叔爆,1
165,三叔猛,1
166,三叔生,1
167,三叔生意,1
168,三叔碌,2
169,三叔粉,1
170,三叔緊,1
171,三叔華,1
172,三叔蘋,3
173,三叔蚊,1
174,三叔諗,1
175,三叔豬,1
176,三叔賣,1
177,三叔跌破,1
178,三叔都吾,1
179,三叔都有,1
180,三叔難,1
181,三叔電,5
182,三大名牌,1
183,三大金融中心,2
184,三大長,1
185,三星係,2
186,三星先,2
187,三星內,1
188,三星剩下,1
189,三星功能,1
190,三星只能,5
191,三星咪,1
192,三星問,2
193,三星垃圾,1
194,三星報,1
195,三星奶,1
196,三星定,1
197,三星左年,1
198,三星已經,3
199,三星幫,1
200,三星平,1
201,三星平千,1
202,三星年出,1
203,三星影,1
204,三星手,4
205,三星揾,1
206,三星收,1
207,三星會,5
208,三星永,1
209,三星淡,1
210,三星爆,1
211,三星生,1
212,三星真,1
213,三星碌狗,1
214,三星神主牌,1
215,三星算,4
216,三星粉,1
217,三星系,1
218,三星细心,1
219,三星聲,1
220,三星芯片,1
221,三星華,4
222,三星蘋,5
223,三星角色,1
224,三星話,1
225,三星請,1
226,三星謂,1
227,三星轉,2
228,三星轉華,1
229,三星轉蘋,1
230,三星通,1
231,三星銷,1
232,三星鑑,1
233,三星陸,3
234,三星電話,1
235,三星高通,1
236,三班制工人,1
237,三番邊,3
238,三角地空,3
239,上下游零部件,2
240,上代全天,1
241,上代進,1
242,上升代表,1
243,上去付,1
244,上去住,1
245,上去俾,1
246,上去入主,1
247,上去再,1
248,上去升,1
249,上去問,1
250,上去好似,1
251,上去宴,1
252,上去睇,3
253,上去聽,1
254,上去蘋,1
255,上去行,1
256,上去講,1
257,上去賣,1
258,上去身份,1
259,上去電話,1
260,上台中,1
261,上台之前,1
262,上台仲平,1
263,上台便,2
264,上台係,2
265,上台先,3
266,上台冇,3
267,上台再加,1
268,上台出,20
269,上台問,3
270,上台定,2
271,上台客,1
272,上台後,1
273,上台得分,1
274,上台惠,2
275,上台手,1
276,上台抵,2
277,上台指定,1
278,上台最低,1
279,上台最快,1
280,上台減,1
281,上台白色,1
282,上台知,2
283,上台續約,7
284,上台要人,1
285,上台訂,4
286,上台計,1
287,上台貴,2
288,上台買,78
289,上台費,1
290,上台送,1
291,上台連,2
292,上台都有,2
293,上台開,1
294,上司安排,2
295,上司禾,1
296,上品賣,1
297,上官網,2
298,上市先,1
299,上市公司,1
300,上市公司小米,1
301,上市包,2
302,上市時,2
303,上床之前,1
304,上床後,1
305,上床打算,2
306,上床送,1
307,上成日影,1
308,上房先,1
309,上手係,1
310,上手先,1
311,上手冇,1
312,上手再,1
313,上手初,1
314,上手可能,1
315,上手拎,1
316,上手指,1
317,上手相片,1
318,上手覺,2
319,上手評,1
320,上手試,4
321,上手試試,1
322,上手身,1
323,上手較,2
324,上手較順,1
325,上手鄙,1
326,上手重,1
327,上手體驗,1
328,上文理,1
329,上来定,1
330,上水晒,2
331,上水站,1
332,上海粗,2
333,上海設,2
334,上海賭聖,2
335,上班時,1
336,上网电话,1
337,上解決,1
338,上部會,1
339,上部長,1
340,上限係,1
341,上面中,1
342,上面仲,1
343,上面係,3
344,上面做,1
345,上面兄,1
346,上面加,1
347,上面太,1
348,上面少,1
349,上面影,2
350,上面班,16
351,上面甘正,2
352,上面老闆,1
353,上面行,1
354,上面設定,1
355,上面話見,1
356,上面諗,1
357,上面講,2
358,上面錯,1
359,上面鍵盤,60
360,上面鐘,1
361,上面飛,2
362,下一代先,1
363,下一代冇,1
364,下一代可能,1
365,下一代埋,1
366,下一代改善,1
367,下一代方向,16
368,下一代明顯,1
369,下一代會,2
370,下一代設計,1
371,下个月开放,1
372,下人馬,1
373,下令不准,1
374,下令全,1
375,下令卻,1
376,下午茶完,2
377,下午茶時,5
378,下午茶熱,2
379,下午茶豬,3
380,下午茶食,2
381,下去問,1
382,下去變,1
383,下台後,1
384,下同佢,1
385,下地洗,2
386,下手足,1
387,下手遊,1
388,下手頭鬚,1
389,下手顏,1
390,下放街,1
391,下期交,1
392,下期六合彩,2
393,下期出,1
394,下期新科,1
395,下水出新,1
396,下滑難,2
397,下班企,1
398,下第問,2
399,下行來,2
400,下跌中,1
401,下载速度,1
402,下部出,1
403,下部平野,1
404,下部放低,1
405,下降高,1
406,下雨日子,2
407,下面仲,2
408,下面係,1
409,下面喇叭,1
410,下面左,1
411,下面推,1
412,下面插件,1
413,下面方法,1
414,下面果,2
415,下面班高官,1
416,下面粗,1
417,下面花,1
418,下面邊,1
419,不一定好,1
420,不一定最好,1
421,不予置,1
422,不会太多,1
423,不会快,1
424,不会重,1
425,不停出,3
426,不停加班,1
427,不停抵,1
428,不停抹黑,1
429,不停搬,1
430,不停時,1
431,不停更新,1
432,不停犯,1
433,不停網,1
434,不再另行,11
435,不再系,1
436,不再詳,1
437,不再賣,2
438,不再配,1
439,不再黑,1
440,不准出口,1
441,不准產,1
442,不到乜,1
443,不到內,1
444,不到出去,1
445,不到後,1
446,不到手,1
447,不到民生,1
448,不到累,1
449,不到色,1
450,不到葡萄,5
451,不及蚊,1
452,不可加,1
453,不可少,2
454,不可惠,1
455,不可抄,1
456,不可竭,1
457,不可語,1
458,不可變,1
459,不可退,1
460,不合作,1
461,不合要求,1
462,不合陸,1
463,不同三叔,1
464,不同厂商,1
465,不同地方,1
466,不同方式,1
467,不同易,1
468,不同款式,1
469,不同網絡,1
470,不同螢,1
471,不同語,1
472,不在乎硬件,1
473,不均會,1
474,不均非常,1
475,不好賣,1
476,不好走,1
477,不好跳到,1
478,不好辦,1
479,不好返,1
480,不孝順,1
481,不定時,1
482,不容錯,1
483,不得不佩服,1
484,不得不出,1
485,不得不贊,1
486,不得不逃,1
487,不必客,2
488,不必要支出,1
489,不忍睹,1
490,不忘初心,1
491,不惜出,1
492,不惜簽約,1
493,不惜長,1
494,不想升,1
495,不想快樂,2
496,不想買,1
497,不想轉,1
498,不想這,1
499,不想重新,1
500,不想雙,1
501,不断推出,1
502,不斷不断,1
503,不斷倏,1
504,不斷傳言,1
505,不斷加,1
506,不斷加大,1
507,不斷改,1
508,不斷欺,1
509,不斷登,1
510,不斷笨,1
511,不斷話,1
512,不易中毒,1
513,不服气,1
514,不理可用,1
515,不用上台,1
516,不用付,2
517,不用加,1
518,不用問,1
519,不用坐,1
520,不用大海,2
521,不用太,1
522,不用心,1
523,不用扮,1
524,不用放,1
525,不用會,1
526,不用禁,1
527,不用竊,2
528,不用經,1
529,不用維,2
530,不用袋,1
531,不用認,1
532,不用貨,1
533,不用買,1
534,不用資,1
535,不用這,3
536,不用遠,2
537,不用選,1
538,不用隔膜,1
539,不用電腦,1
540,不用食,60
541,不用驚,1
542,不知名山,1
543,不知情,2
544,不知明,1
545,不知正,2
546,不知算,1
547,不知結,1
548,不知覺,2
549,不知誰,2
550,不知謂,3
551,不知陸,1
552,不知鬼,1
553,不禁令,1
554,不禁唏,1
555,不禁售,2
556,不等快,1
557,不算太大,1
558,不算誠,1
559,不肯接受,1
560,不能事事,2
561,不能代表,1
562,不能使用,1
563,不能保障,1
564,不能做,1
565,不能停止,1
566,不能再加,1
567,不能再次,1
568,不能出口,1
569,不能同意,3
570,不能同步,1
571,不能喜欢,1
572,不能太,2
573,不能展,1
574,不能帶,1
575,不能授,1
576,不能支援,1
577,不能整,1
578,不能時,1
579,不能沒有,1
580,不能焦,1
581,不能生产,1
582,不能產,2
583,不能級,1
584,不能網,1
585,不能自由,1
586,不能蘋,1
587,不能言,1
588,不能說,2
589,不能買,1
590,不能較,1
591,不能退,1
592,不能連,5
593,不能運,1
594,不能重,1
595,不能閃,1
596,不能開,1
597,不能雙,1
598,不能電話,1
599,不能領,1
600,不能香港,1
601,不良觀,1
602,不苟言笑變,1
603,不要中國,2
604,不要买,1
605,不要什,1
606,不要佔,1
607,不要來,1
608,不要取笑,1
609,不要告,1
610,不要問,2
611,不要將,1
612,不要忘,1
613,不要怕,1
614,不要政治化,1
615,不要本末,1
616,不要民工,1
617,不要浪,2
618,不要為,3
619,不要热门,1
620,不要發,2
621,不要瞓,2
622,不要美国,1
623,不要臉,1
624,不要自欺欺人,1
625,不要裝,1
626,不要計較,1
627,不要訓練,2
628,不要記,1
629,不要買,2
630,不要買貴,3
631,不要跌破,1
632,不要躲避,1
633,不要转,1
634,不要連,2
635,不要錯,1
636,不要驚,1
637,不足命,1
638,不足惜,1
639,不足更新,1
640,不足狩,1
641,不足蚊,1
642,不足電,1
643,专登,1
644,世上儍,1
645,世上公平,2
646,世上手,1
647,世上系,1
648,世事看透,3
649,世事絕,1
650,世事難,1
651,世人摇尾,1
652,世人誤,1
653,世代係,1
654,世代電訊,1
655,世古,2
656,世後,1
657,世既駛錢,1
658,世杯,1
659,世界一代,5
660,世界乜,1
661,世界信用卡,1
662,世界傅,2
663,世界免,2
664,世界冇,1
665,世界再,1
666,世界受,2
667,世界型,1
668,世界大品牌,2
669,世界大哥大,1
670,世界市,1
671,世界帝,1
672,世界幅射,1
673,世界心,1
674,世界戰,7
675,世界手,1
676,世界採,1
677,世界旅,1
678,世界更,2
679,世界杯活,1
680,世界果粉,1
681,世界果迷,1
682,世界没有,1
683,世界球,1
684,世界盃,5
685,世界真多,1
686,世界知,5
687,世界知名,1
688,世界童,1
689,世界紀,3
690,世界花,1
691,世界處,1
692,世界裏,1
693,世界貴,1
694,世界賺錢,1
695,世界賽,1
696,世界跌,1
697,世界都去英,1
698,世界都有,1
699,世界銷,2
700,世界閒,1
701,世界霸主,1
702,世界面前,1
703,世盃,1
704,世紀,19
705,世間,1
706,世靚,1
707,世高手,1
708,东西平有贵,1
709,丞琳,2
710,两地轮流,1
711,两星期左边,1
712,两边揾,1
713,两边网,1
714,两边走,1
715,並不兼容,2
716,並不好事,1
717,並不沒有,1
718,並不炒家,1
719,並不覺得,1
720,並不認,1
721,並不讓,2
722,並不貴,1
723,並不重要,1
724,个人感觉,1
725,个人收入,1
726,个人認,1
727,丫講,1
728,丫麻,1
729,中下式,1
730,中下蘋,1
731,中世上,1
732,中中國,1
733,中中意,4
734,中主,1
735,中事,1
736,中人士,2
737,中人物,2
738,中仇,1
739,中仲,1
740,中伏,2
741,中低,2
742,中佔,1
743,中便,1
744,中係,3
745,中個人,6
746,中倾,1
747,中先,1
748,中共主席,1
749,中共化,1
750,中共受,1
751,中共嬲,1
752,中共崩,1
753,中共帶,2
754,中共時,1
755,中共果粉,1
756,中共都向天,1
757,中共醫,1
758,中共鼓,1
759,中再,1
760,中出,24
761,中加,1
762,中可靠,1
763,中哂,2
764,中啤酒,2
765,中喜歡,1
766,中嘅,18
767,中回望,2
768,中国不能,1
769,中国不要,1
770,中国产品,1
771,中国人心,1
772,中国什,1
773,中国付钱,1
774,中国做,2
775,中国停止,1
776,中国冇,1
777,中国升,1
778,中国华为,1
779,中国占,1
780,中国可能,1
781,中国境,1
782,中国多赚,1
783,中国威胁论,1
784,中国宽容,1
785,中国想,1
786,中国技术,1
787,中国接单,1
788,中国支持,1
789,中国无条件,1
790,中国生产,3
791,中国禁,1
792,中国穷人,1
793,中国联通,1
794,中国自傲,1
795,中国製,5
796,中国話,1
797,中国赚,3
798,中国赢,1
799,中國一大,1
800,中國一手,1
801,中國三大,1
802,中國中,2
803,中國中國,1
804,中國主,2
805,中國乜,1
806,中國事,1
807,中國事必,5
808,中國互,1
809,中國人力,1
810,中國人民,2
811,中國仆,1
812,中國付,1
813,中國代理人,2
814,中國代表,1
815,中國仲,1
816,中國企,1
817,中國伸,1
818,中國似,1
819,中國佔,1
820,中國作,1
821,中國佢,1
822,中國係,8
823,中國做,7
824,中國做到,1
825,中國做成,1
826,中國做生意,1
827,中國偷,1
828,中國億,1
829,中國元素,1
830,中國先,2
831,中國兒,1
832,中國入口,1
833,中國共,1
834,中國冇,2
835,中國再,3
836,中國再度,1
837,中國出口,2
838,中國分裂,1
839,中國制,2
840,中國制式,1
841,中國制造,5
842,中國功夫,1
843,中國加,2
844,中國加倍,1
845,中國勝,1
846,中國包括,1
847,中國印度,1
848,中國反,1
849,中國可能,2
850,中國可行,1
851,中國吉士,1
852,中國同仇,4
853,中國同步,1
854,中國咪,2
855,中國品牌,3
856,中國唐,2
857,中國售,1
858,中國商,1
859,中國嘅,5
860,中國回,1
861,中國土,1
862,中國城,1
863,中國報,1
864,中國境,1
865,中國外事,2
866,中國外交部,3
867,中國外族,1
868,中國大城市,1
869,中國威,1
870,中國媒體,1
871,中國字,5
872,中國官,1
873,中國定,2
874,中國害,3
875,中國富士康,1
876,中國尾,1
877,中國崩,2
878,中國工,1
879,中國工人,7
880,中國工信部,1
881,中國巿,2
882,中國市,14
883,中國幫,1
884,中國年大,1
885,中國廉,1
886,中國建立,1
887,中國強,4
888,中國思想,2
889,中國性格,1
890,中國感慨,2
891,中國態度,2
892,中國成,1
893,中國手,9
894,中國承,1
895,中國技,1
896,中國拖,1
897,中國掂,5
898,中國採,1
899,中國揸,1
900,中國支持,1
901,中國收,1
902,中國政府,7
903,中國政策,1
904,中國方法,1
905,中國日本,1
906,中國時,2
907,中國晒,1
908,中國會,5
909,中國根本,1
910,中國械,1
911,中國死,1
912,中國水域,1
913,中國求,1
914,中國沒有,1
915,中國流失,1
916,中國消,2
917,中國港台,1
918,中國版,4
919,中國版本,1
920,中國牌子,1
921,中國班,1
922,中國生,5
923,中國疑,1
924,中國發,4
925,中國監,4
926,中國相對,1
927,中國真,4
928,中國碼,1
929,中國禁,2
930,中國移,14
931,中國稀土,1
932,中國稅,1
933,中國竊,3
934,中國立,1
935,中國系,2
936,中國組裝,7
937,中國組裝賺,1
938,中國統,1
939,中國網,1
940,中國網友,1
941,中國線,1
942,中國總,1
943,中國罷買,1
944,中國老,1
945,中國聯,1
946,中國股市,1
947,中國肯定,1
948,中國自由,1
949,中國華,2
950,中國處處,1
951,中國蝗,2
952,中國血汗,1
953,中國製,5
954,中國規,1
955,中國覺得,1
956,中國訂,2
957,中國計計,1
958,中國設,7
959,中國話,1
960,中國誠,1
961,中國談,1
962,中國變,1
963,中國財,2
964,中國貧窮,1
965,中國貨,14
966,中國買,4
967,中國買貨,1
968,中國貼,1
969,中國賣,4
970,中國質,1
971,中國賺,2
972,中國贏,1
973,中國足,2
974,中國輸,1
975,中國轉,1
976,中國近,1
977,中國送,1
978,中國逐年,1
979,中國進,1
980,中國遊,5
981,中國避免,1
